Time,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10
-4,6.591629243,6.707384414,6.529111256,6.405581736,6.695102794,6.618572745,5.724035839,6.810419232,5.902009188,5.97414561
-2,6.682139461,6.638161699,6.50795133,6.380040358,6.696914754,6.635720248,5.57711549,6.712169971,5.856190703,5.938233508
0,6.790876253,6.695228816,6.708165752,6.460006901,6.619324807,6.772997005,5.649911575,6.889389986,5.999934716,6.028390543
2,7.148030352,6.91390265,6.749152474,6.625200536,6.857951518,9.073447046,5.793504433,7.06163011,6.23859318,5.999067172
4,7.109596863,7.213138712,6.90566586,6.880239772,7.084523585,13.07475792,6.11810174,7.412688583,8.522636313,6.497922214
6,6.719313558,6.878403365,6.763604659,6.922115347,6.817595492,13.44817418,5.871347111,10.70844285,11.64435165,7.557190763
8,6.590565981,6.601897564,6.373727703,10.3773396,6.592072593,11.82839461,8.824133463,13.697292,11.56489043,11.17341802
10,7.035294753,6.783531842,6.811971516,13.11624575,6.61235105,9.571952528,12.14751422,13.06888621,10.4181248,11.8000666
12,10.94331822,6.735099368,10.27357607,12.54208759,8.747061774,7.9412505,12.05531541,10.88797745,9.102380102,10.74480697
14,12.9465362,8.948650969,13.14820402,10.73492696,12.71068979,6.812380007,10.1877364,8.863663373,7.633214285,9.422228528
16,12.45677868,12.614569,12.80510138,8.529601528,13.20571281,6.266569288,7.88627801,7.643816756,6.429463753,7.947231101
18,10.61152483,12.74673159,10.8271832,7.253875459,11.66520217,5.955066962,6.56277987,6.733077285,5.700503243,6.699928166
20,8.888007077,11.49153466,8.713572508,6.442076181,9.565724645,5.565423711,5.683987457,6.281273248,5.294142728,5.877560395
22,7.60195005,9.756774311,7.449187915,6.003953798,7.795812233,5.380773958,5.142685684,5.894512844,4.806630836,5.275333173
24,6.659805652,8.013482048,6.545721689,5.535576968,6.774417996,5.304642576,4.945274542,5.722416613,4.659548021,4.867363249
26,5.998102912,6.913866651,6.04104062,5.356737306,6.405440143,5.006282942,4.805324838,5.392818897,4.41959948,4.710245912
28,5.789819279,6.219503932,5.731141436,5.146145989,5.767637667,4.908609592,4.500354392,5.309511107,4.25594914,4.424684723
30,5.287325936,5.783594928,5.502660925,4.982861247,5.631699872,4.711628539,4.302523863,5.107519625,4.109873961,4.317617712
32,5.23774671,5.522527036,5.274595012,4.745254414,5.379116546,4.60138197,4.22185949,4.849741775,3.987585573,4.301797231
