Time,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10
-4,3.254546881,3.351095282,2.862626272,3.136590386,3.143417066,3.010447434,3.603609584,3.086171332,2.856673463,2.933750892
-2,3.249561117,3.430579995,2.845205967,3.067907193,3.222979373,2.975424479,3.642195608,3.205100214,2.795718044,2.801592883
0,3.35885878,3.299743167,2.95162077,3.07801735,3.156321091,2.212250518,3.540493762,3.153638214,2.742194994,2.879711613
2,3.345229994,2.780390965,2.384400203,2.824471823,2.98508783,-2.389871194,3.191389272,3.028961295,2.271609157,1.071758668
4,2.933884755,2.988392894,2.696666256,2.860800606,2.963971377,-3.695483386,3.15119997,1.856437137,0.236364671,-2.352566855
6,3.106130276,2.492429522,2.814120465,1.482358146,3.089001806,-2.159178591,3.347358791,-2.236952125,-2.594644615,-2.477104125
8,3.25206059,-1.366695897,2.866837826,-2.553626115,3.181256728,0.352711423,0.034619963,-3.51428049,-2.356793532,-1.603786231
10,3.189632999,-2.611474844,2.683440048,-3.203363346,3.140721193,1.831050628,-3.089747006,-1.780793063,-1.430848993,-0.489903645
12,0.43074503,-1.713059748,-0.51178999,-1.574859534,2.986260848,2.40258367,-2.36337714,0.657030102,-0.126997178,1.07355736
14,-2.774825181,0.116226617,-3.566094608,0.746726804,-0.675976269,2.808463167,-0.040133956,2.086475467,1.249451443,2.085182052
16,-2.458366346,1.867050268,-2.976496555,2.160152095,-3.194815671,3.05627953,1.902211303,2.515236157,2.287646478,2.602921191
18,-0.814665449,2.779102028,-0.905122258,2.591854895,-2.514100553,3.234822709,2.725571855,2.987307066,2.797483459,3.089041514
20,1.387860981,3.257416273,1.099199939,2.956915692,-0.168904266,3.64588466,2.994536205,3.224794546,2.902180376,3.389993973
22,2.512419392,3.620755666,2.101832505,3.148797608,1.658538252,3.938107018,3.412427942,3.642552604,3.186917112,3.480820551
24,3.068575478,3.877996426,2.43334726,3.555283462,2.480455267,4.169362389,3.72644937,3.786990533,3.46273251,3.718460209
26,3.399749964,4.085849228,2.643689032,3.758151501,2.831897553,4.347110312,4.178089153,4.076694729,3.768652876,4.002894548
28,3.794921609,4.433811949,3.047841388,4.079638544,3.297377371,4.394935626,4.452147712,4.36233174,3.764595896,4.221637772
30,3.904799378,4.646892538,3.459002946,4.263893435,3.696290139,4.479640694,4.560648973,4.660988781,4.176087208,4.358280529
32,4.239487959,4.89432541,3.781672007,4.559910649,3.915831053,4.598862051,4.80845725,4.750190634,4.269935676,4.526022205
34,4.466080599,4.991713792,3.816970709,4.658792994,4.099721337,4.723892436,4.95189029,5.001305076,4.310259921,4.576080669
36,4.713574122,5.107889777,3.957792419,4.698303299,4.384864976,4.813623181,5.01307982,4.931690338,4.422645193,4.647087341
38,4.671190113,5.17045465,4.032932335,4.810263989,4.505611065,4.840091512,5.174028352,5.131654898,4.618157466,4.853621121
40,5.012707341,5.222941276,4.180529376,4.870487575,4.872371475,4.924443301,5.202346883,5.247226258,4.637117962,4.867911935
42,5.091165691,5.360797057,4.388109236,4.972990688,4.834881239,5.045586437,5.27726155,5.310268156,4.772908739,4.849775806
44,5.231481142,5.502050648,4.446541077,5.036287414,4.922773819,5.113448226,5.397106266,5.31468014,4.746645657,4.901075584
46,5.246163066,5.597119548,4.502761116,5.139099815,5.05683752,5.067715972,5.528638215,5.347139411,4.852108051,4.937337993
48,5.322499203,5.609399717,4.578879513,5.13347429,5.150239304,5.215203072,5.564587879,5.501771343,4.895345866,4.962309146
50,5.280847906,5.674049213,4.568994831,5.143551551,5.198068296,5.208112425,5.615240245,5.542315107,4.847445701,5.038403154
52,5.388656298,5.691461787,4.66647554,5.299631873,5.238863406,5.272821138,5.797715866,5.567289277,4.945075609,5.019655502
54,5.379999874,5.653976018,4.78499718,5.329176266,5.377396204,5.267417227,5.841496199,5.603603482,5.012812907,5.166152753
56,5.510308186,5.693211234,4.812407204,5.357920371,5.460475424,5.386574539,5.807475204,5.621151061,5.044572423,5.177895078
58,5.732386519,5.829014329,4.936359406,5.431047179,5.505168555,5.343526772,6.020568618,5.699703906,5.101884828,5.25170904
60,5.568399414,5.868395793,4.970345288,5.349542323,5.547861121,5.467295265,6.036642133,5.724575003,5.308421536,5.304682046
62,5.684714071,5.795244871,4.923630411,5.400178695,5.574509495,5.408256043,6.061979789,5.771566984,5.236872737,5.380964474
64,5.733806834,5.834157611,4.928966818,5.427795916,5.684234748,5.486950472,6.068469429,5.746128568,5.105584851,5.349917746
66,5.785968354,5.994476573,5.103753294,5.579332781,5.842537138,5.506474243,6.19538032,5.847518604,5.293696224,5.397720947
68,5.892911839,5.984329874,5.08000717,5.506274036,5.786233809,5.512009119,6.286466004,5.803763768,5.30785012,5.468571911
70,6.006854781,5.966285318,5.268818506,5.61259829,5.75164369,5.614314963,6.296549997,5.908855402,5.263834166,5.494490233
72,6.06335975,6.175379761,5.11440934,5.680521553,5.902349004,5.670847537,6.318118189,5.921184,5.406593784,5.521539318
74,6.001452603,6.102977425,5.168111207,5.798706724,5.92864021,5.681091279,6.326504771,5.97818876,5.517432869,5.631271562
76,6.172556202,6.271136205,5.315326105,5.628557141,6.009977826,5.602130582,6.457453554,6.03876547,5.411119275,5.635914101
78,6.1061623,6.180214557,5.463158482,5.815345461,6.048888847,5.76115801,6.46083621,5.987866923,5.561027176,5.629971727
80,6.181361965,6.108606546,5.408847202,5.810038895,6.021057173,5.773089535,6.500610545,5.923175905,5.520082311,5.581055179
82,6.160352147,6.147857221,5.352154943,5.821757897,6.129056157,5.863249596,6.435503426,6.08552525,5.499074906,5.662089498
84,6.246179708,6.221326052,5.510197662,5.831005787,6.197096825,5.952521781,6.614186229,6.063892532,5.525247511,5.830999109
86,6.244025429,6.296530222,5.468249455,5.856526448,6.158381185,5.926640245,6.681160444,6.039566685,5.488209878,5.716740129
88,6.210358338,6.310479162,5.491215809,5.9082013,6.227052236,5.901937087,6.573942043,6.178187742,5.608689931,5.678341882
90,6.369237709,6.435504717,5.536307624,5.906000421,6.270543101,5.878730182,6.616708578,6.235232071,5.691194257,5.715174174
92,6.335953288,6.312635436,5.522333683,5.984813617,6.266697839,5.940403643,6.701174888,6.197359084,5.621286895,5.814690579
94,6.378905093,6.383864512,5.577386303,5.988388158,6.393736456,5.920080814,6.655413302,6.256840139,5.685730822,5.768827606
96,6.357328574,6.435927336,5.492687929,5.919482592,6.329279023,6.052821789,6.68928606,6.238499689,5.741810276,5.773084414
98,6.281396311,6.345500205,5.669262093,5.979363983,6.351631015,6.02602809,6.588675618,6.160445719,5.714436544,5.936219222
100,6.413802147,6.470799594,5.683518724,6.072618709,6.348532492,5.997210192,6.693335966,6.169621404,5.757194812,5.879974899
102,6.370701897,6.533571142,5.669130673,6.08371384,6.473551257,6.048251604,6.639876583,6.319813845,5.805958008,5.817439975
104,6.419143629,6.524791521,5.678315684,6.213546147,6.489455116,6.079101396,6.697262905,6.313226582,5.769645094,5.777251465
106,6.355003349,6.454921524,5.674744261,6.09751756,6.500971664,6.117604981,6.745910837,6.270910502,5.742560384,5.862201998
108,6.446888112,6.500966703,5.654792999,6.13911343,6.530993611,6.054581698,6.775586111,6.249067703,5.797338254,5.904065896
110,6.411775604,6.457447597,5.783217236,6.168616343,6.422637048,6.013793446,6.720844593,6.300933848,5.718870084,5.927711428
112,6.432471611,6.556036801,5.667478654,6.176513608,6.453131417,6.161279833,6.767141763,6.24053272,5.843174853,5.898528587
114,6.540103161,6.555182673,5.767211018,6.152804359,6.591279824,5.993582946,6.69955606,6.399029221,5.746832279,5.873241023
116,6.435952297,6.463944519,5.74577848,6.2653208,6.506846192,6.108736307,6.804887162,6.300663225,5.794285048,5.912492574
118,6.564039098,6.514034962,5.767759425,6.175044826,6.478951746,6.166384551,6.800552435,6.412918763,5.788624886,5.797265989
120,6.555102316,6.59099033,5.792448331,6.1749191,6.469400913,6.161856141,6.652104164,6.421691071,5.85246568,5.940954712
122,6.451016045,6.540531388,5.806827483,6.250082249,6.559012638,6.096265707,6.678151788,6.382397986,5.747613303,5.968723166
124,6.482916478,6.471230764,5.814991839,6.199751489,6.445959186,6.124688878,6.754455478,6.419965055,5.794973089,5.889691034
126,6.50241882,6.531690563,5.830856145,6.289838874,6.54171908,6.15533765,6.796792969,6.534552092,5.863548426,5.931303683
128,6.497712476,6.567348187,5.864197703,6.16238668,6.376935376,6.143423245,6.809057452,6.454694594,5.81331737,5.91255876
130,6.589807566,6.520137903,5.948569212,6.18271482,6.486137759,6.087663103,6.698550135,6.449769068,5.928960413,5.957892858
132,6.551409432,6.476037122,5.869174714,6.215228163,6.502497621,6.187493569,6.722126108,6.463938078,5.848611511,5.914084035
134,6.505984873,6.610032182,5.822463259,6.276486203,6.535586834,6.170014607,6.850358256,6.487628354,5.939890533,5.976429962
136,6.483608326,6.498851034,5.871498893,6.280288844,6.507897472,6.25780605,6.74849528,6.427053431,5.732976899,5.967555412
138,6.627514531,6.518502821,5.931586918,6.229165592,6.548885065,6.158216417,6.794346272,6.425920283,5.876378803,5.901752855
140,6.516881121,6.576604893,5.929441988,6.344101842,6.487568336,6.209193668,6.845475796,6.431639946,5.814849412,5.920496017
142,6.626933905,6.505104054,5.943843991,6.320013848,6.605196229,6.116481635,6.696295574,6.447958192,5.832964017,5.863566651
144,6.494824486,6.524880462,5.972648434,6.271271556,6.50333893,6.391527102,6.743654505,6.552049856,5.929125942,5.89909166
146,6.595721563,6.419041556,5.910209282,6.220843903,6.589854104,6.124472046,6.622293186,6.461460062,5.850091778,5.891949184
148,6.58936535,6.608524875,6.00529872,6.338908504,6.454132208,6.13873649,6.709129896,6.485510654,5.916844654,5.967895595
150,6.514248501,6.538319779,5.859414616,6.204241253,6.515300873,6.174011151,6.75374489,6.515380359,5.783313884,5.906449001
152,6.591839978,6.47346891,6.025027789,6.269050552,6.693142167,6.232360107,6.728116412,6.51544679,5.869936308,5.950602455
154,6.638929145,6.469543582,5.902041453,6.334813076,6.49149062,6.244854742,6.782434404,6.518783416,5.880075142,5.897333322
156,6.557537874,6.593680428,6.031906063,6.370102749,6.56034249,6.160479392,6.832317791,6.462829353,5.83111459,5.984175331
158,6.530302298,6.496506336,5.904880018,6.283862322,6.606661727,6.28584337,6.747846135,6.491244229,5.793998649,5.989669295
160,6.618727152,6.525323737,5.865616027,6.337976351,6.550120635,6.283496974,6.799210027,6.507189676,5.851753709,5.915852682
162,6.55530583,6.544203688,6.003000806,6.341186974,6.590759773,6.309509942,6.812804989,6.38960472,5.88764208,6.015763657
164,6.596252857,6.486176509,6.031573783,6.340818037,6.606463324,6.288571755,6.626304223,6.524122599,5.83405616,6.012351701
166,6.486248692,6.534748685,5.99714189,6.31669595,6.639189258,6.237537309,6.694991559,6.441566476,5.913533029,5.852553718
168,6.63808724,6.51078505,5.976736679,6.259184057,6.530773753,6.313074208,6.790297197,6.574390981,5.901543214,5.943301499
170,6.50897957,6.580128494,6.03077968,6.358838122,6.52403261,6.239932204,6.73406829,6.572597008,5.8458805,6.000386629
172,6.575815895,6.570635894,6.056843404,6.27965451,6.581786702,6.272552143,6.840620974,6.519331444,5.8369194,6.065610116
174,6.615930748,6.622856924,6.049006119,6.31492967,6.527183568,6.373600272,6.871478383,6.532386462,5.834976767,6.044117883
176,6.575850944,6.524533721,6.097973091,6.304622204,6.468589097,6.327553562,6.829744052,6.554829586,5.923285949,5.893550511
178,6.578074254,6.518248004,5.93620501,6.367847165,6.516183736,6.273610281,6.679098071,6.536080269,5.828449216,6.011178263
180,6.509678057,6.584439308,5.970728246,6.332275194,6.573543727,6.25247079,6.842577897,6.447274233,5.904506822,5.970792813
182,6.476288146,6.529037659,6.080228148,6.362017796,6.55505225,6.257750835,6.677149329,6.507806616,5.862619106,5.871178221
184,6.616314789,6.622161332,6.11344084,6.258093753,6.459399689,6.296363101,6.699524806,6.549458792,5.919500292,6.0118672
186,6.525782071,6.545147936,6.12654844,6.425343464,6.600889692,6.330039506,6.730477139,6.519664857,5.835336146,6.046295738
188,6.630693428,6.51157744,5.997693738,6.30330874,6.499955572,6.322693925,6.698527613,6.53895017,5.784983675,5.948903806
190,6.52851357,6.5673554,6.034615728,6.161108355,6.593886488,6.2789127,6.873175401,6.560497633,5.897435913,5.897377818
192,6.549611662,6.556580213,5.999757571,6.351600913,6.51664278,6.421955983,6.69612742,6.574164435,5.88386509,5.983086756
194,6.496697161,6.563536468,6.069662954,6.458342261,6.605410004,6.366620651,6.846649848,6.606427656,5.85703181,5.929130718
196,6.498248635,6.520476889,6.062436511,6.405896348,6.576586708,6.237635956,6.82397871,6.556269519,5.914226025,5.932856538
198,6.514556613,6.552768098,6.041867642,6.405615688,6.507544791,6.345545635,6.759170888,6.565254848,5.795828009,5.953757383
200,6.602121244,6.533400142,6.000897602,6.43521256,6.610817866,6.369811779,6.790215627,6.506200109,5.893863759,6.001953549
202,6.520911727,6.491619397,6.029384553,6.399458984,6.576549723,6.239091857,6.786404626,6.545939688,5.876080386,5.861160945
204,6.429806808,6.557229178,6.062704216,6.361522278,6.509188087,6.387616855,6.793749808,6.586839727,5.831039368,5.924458915
206,6.631116873,6.486022002,5.991452339,6.320488579,6.58735083,6.431683495,6.564135366,6.546748832,5.876008744,5.950070888
208,6.417681629,6.532349717,6.029635186,6.406558964,6.559881597,6.381348893,6.860870017,6.519302258,5.882083502,5.909795532
210,6.496538671,6.508422881,6.121542149,6.414838131,6.56927765,6.397126827,6.701153174,6.579984601,5.914895479,5.952964607
212,6.546077364,6.509063132,6.112863423,6.397099331,6.621886913,6.311774831,6.664718989,6.492613275,5.924167101,5.990107647
214,6.471393074,6.571207145,6.152439866,6.325563485,6.629703753,6.288367564,6.760875325,6.502473902,5.774649456,5.95926974
216,6.569686821,6.566033645,6.044845202,6.514108681,6.530817991,6.515696396,6.787490227,6.495626503,5.902169893,5.923838963
218,6.596932343,6.469767915,6.196757284,6.288596034,6.558949706,6.309581446,6.904278539,6.563444987,5.88279711,5.955064393
220,6.53121029,6.498863686,6.074006338,6.394490835,6.518222509,6.395057554,6.712067978,6.477097474,5.908569984,5.913951632
222,6.593032327,6.510567403,6.035317937,6.282170426,6.601010724,6.340422975,6.751915567,6.577070767,5.913084845,5.974780506
224,6.604428234,6.557162811,6.060189456,6.282328779,6.607079932,6.45032947,6.702704767,6.521489425,5.814153943,5.96039574
226,6.532437488,6.530950592,6.117939796,6.407027374,6.586677651,6.384412198,6.777488974,6.523831108,5.872186233,5.872277998
228,6.494979216,6.55688729,6.060134695,6.465141744,6.505732586,6.358707964,6.758311092,6.633801632,5.863402892,5.869487236
230,6.523239672,6.591338901,6.110060925,6.47418582,6.629920291,6.259075227,6.840093869,6.634660786,5.902416197,5.961686786
232,6.603785732,6.595367448,6.114043732,6.363150373,6.546919049,6.393526792,6.74567248,6.581757227,5.741458328,5.862146407
234,6.493661841,6.517344975,6.212894173,6.381526772,6.573898368,6.299239641,6.861191198,6.584556757,5.772125611,5.867570559
236,6.551609687,6.507689949,6.11951179,6.41938702,6.590890762,6.464449109,6.905518514,6.386891076,5.862222016,5.910838094
238,6.465272156,6.551783264,6.113158792,6.544013617,6.576902243,6.481541016,6.856792126,6.559829656,5.855984372,5.98201894
240,6.580400334,6.533410289,6.134498521,6.39091764,6.531738238,6.453706409,6.703207078,6.553037094,5.831801955,5.963338808
242,6.594004658,6.559716658,6.188129555,6.469856767,6.541282271,6.393926278,6.809695959,6.657234506,5.862780463,5.916227837
244,6.617631706,6.515268126,6.239406102,6.32138573,6.563211966,6.470653442,6.882778149,6.57264444,5.856072742,5.916902694
246,6.418281962,6.589677705,6.073070693,6.427828434,6.525076324,6.487973555,6.760123123,6.682286663,5.903624452,5.794225251
248,6.52648906,6.60662244,6.264982184,6.426843808,6.585506239,6.395092276,6.826566498,6.549137415,5.825071449,5.921620134
