"","area","alpha","beta","theta","id"
"1","55.1740505004163","3.09636297727725","-0.0561074964645688","3.32764561273349","rep1"
"2","51.932358545278","2.74611567999372","-0.0528596563354024","3.33935586586288","rep2"
"3","53.8377735140755","2.90072551944092","-0.0538623065519429","3.19927852777879","rep3"
"4","48.0779366674669","2.82797173960284","-0.058811896940151","3.14556160809393","rep4"
"5","53.7069573602399","3.03103976042656","-0.0564247240192463","3.26268320389055","rep5"
"6","51.8964064539776","2.94039616623641","-0.0566473934784131","3.33924859378155","rep6"
"7","42.7583399517752","2.4402291778934","-0.0570593027903228","2.78976404719114","rep7"
"8","58.1088590108221","3.31129546817283","-0.0569732750775312","3.37416598173264","rep8"
"9","43.1924134170105","2.709558518288","-0.062727136137003","2.85637473585207","rep9"
"10","45.6367277561259","2.75696606681101","-0.0604041082027796","2.88244862537425","rep10"
