"","area","alpha","beta","theta","id"
"1","78.3128034024485","-2.95914019288928","-0.0376529742161075","6.56086886113862","rep1"
"2","69.9855726047963","-2.730005794146","-0.038893982332749","6.54570323003704","rep2"
"3","101.498687174733","-2.66034420390044","-0.0256516104312041","6.08230113324218","rep3"
"4","93.2329869413757","-2.76978087996457","-0.0293440106103402","6.36595126806145","rep4"
"5","83.7986595595939","-3.0705653374549","-0.036488370078495","6.57869899199544","rep5"
"6","103.432519203427","-2.89209056370751","-0.027509852092371","6.32850991369649","rep6"
"7","74.3668499754507","-2.87125534459038","-0.0384893011632669","6.79063477483757","rep7"
"8","85.6426801859776","-2.9059271806082","-0.0337149240394182","6.51540198248858","rep8"
"9","75.1452606826019","-2.73257182606271","-0.036204584436484","5.86905138239833","rep9"
"10","73.6229749220219","-2.69915625331672","-0.0365084472108238","5.95346976144355","rep10"
