,SSR,Vcmax,J,Tp,aG,aS
count,9.0,9.0,9.0,9.0,9.0,9.0
mean,2.1910378421854704,57.65958538228679,95.00743897133702,4.714646820998418,0.010000000000007246,0.44587521805594676
std,1.3086977084846063,8.236132597683053,10.24518581245112,0.5941240483954302,2.141604805490092e-14,0.10056685386879108
min,0.36343454283423077,46.30214015533845,81.54564383277192,3.8360911051989657,0.010000000000000002,0.32387505121062526
25%,1.5007296910581114,52.48460839048285,85.06414631621975,4.223560229729673,0.010000000000000002,0.3412356889152321
50%,1.9508069415541374,60.538391332273775,95.38893333278989,4.605735773024627,0.010000000000000009,0.49383187945681206
75%,2.755510071906229,63.71928424577596,102.88792598474019,5.138316726309074,0.010000000000000061,0.5115131603525056
max,4.639228590899311,68.38224139955405,106.73120669874761,5.749362794052359,0.010000000000064352,0.5753965124455149
