SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1619723206,125,20210429 15:06:45,15:06:45,-299.4688205,-1.114267362,1619723198,0.005264008,-0.403161536,50.15926333,50.80304954,4.967502053,4.904552892,0.361817594,2.88731063,0.338384134,0.213468887,187.9582429,25.6235258,24.99469,3.178671115,50.58262242,1.69549344,3.351928703,1.483177675,-232.1427519,139.0283459,10.230542,105.0743789,33,7,1,0,51807.05953,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2334-20210429-15_06_21,10592.3,1165.578462,1385.03,0.158445332,0.5,854.9282369,-0.403161536,67.72969426,1,0.000547394,0.164841195,-,0,1385.03,0.158445332,0.141513878,0.303386763,0.239909832,0,1,1000.002233,854.9282369,0.854926328,0.219852655,6,0.5,0: Broadleaf,2,1619723198,50.15926333,49.99232667,17.33995,11.13307,49.59978,17.20992333,500.0319333,97.6466,0.133003733,25.88784,24.99469,999.9,0,0,9996.414,0,0.00152894,1000.002233,0.4999564,0.5000436,0,1165.517667,5.00017,11004.8,7568.228333,42.5,45,43.875,44.75616667,44.9454,497.4566667,497.5453333,0,124.2,0,1165.578462,9.633504285,71.48376072,11005.02692,15,1619723160,15:05:59,1619723147,1619723160,2,0.041,0.002,0.559,-0.03,50,11,0.24,0.02,-0.355912471,-0.229098202,0.059467877,1,0.361394607,0.078469941,0.027556591,1,2,2,2/2,100,100,0.559,0.1286,0.469441064,0.001895663,-1.65232E-06,5.50892E-10,-0.057707479,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1,0.8,2,465.002,497.046,23.8537,28.801,30.0001,28.8476,28.8514,5.17851,35.865,32.5702,23.8558,50,11.0616,101.271,102.123
3,1619723328,247,20210429 15:08:47,15:08:47,53.84033421,2.021572728,1619723320,0.005453597,0.759474804,73.60607419,68.42146543,6.69018502,7.197131073,0.375685125,2.888812945,0.350500193,0.221184537,187.9587926,25.55340878,24.99945806,3.179574857,50.66194462,1.6961165,3.347910376,1.483458357,-240.5036291,135.203877,9.943165445,92.60220586,33,7,1,0,51853.46949,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2335-20210429-15_08_23,10592.4,1155.0592,1378.64,0.162174897,0.5,854.9311063,0.759474804,69.32418205,1,0.001907311,0.170240237,-,0,1378.64,0.162174897,0.145474605,0.311850268,0.246624491,0,1,1000.005645,854.9311063,0.85492628,0.21985256,6,0.5,0: Broadleaf,2,1619723320,73.60607419,74.99906452,17.34642258,10.916,73.08764839,17.2151129,500.0290323,97.64606452,0.132972774,25.8675871,24.99945806,999.9,0,0,10005.10129,0,0.00152894,1000.005645,0.499958065,0.500041935,0,1155.11,5.00017,10898.69677,7568.250645,42.56606452,45.042,43.929,44.82012903,45,497.46,497.5454839,0,121.5999999,0,1155.0592,-3.885384622,-37.823077,10897.988,15,1619723281,15:08:01,1619723260,1619723281,3,-0.081,0.001,0.521,-0.036,75,11,0.3,0.01,0.755419226,0.013888923,0.045594221,1,0.375925924,0.074001574,0.02486561,1,2,2,2/2,100,100,0.518,0.1302,0.388489309,0.001895663,-1.65232E-06,5.50892E-10,-0.056602902,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1.1,0.8,2,465.188,495.858,23.86,28.7918,30.0001,28.8389,28.8425,6.23837,36.1261,30.8827,23.8624,75,10.8056,101.276,102.129
4,1619723448,367.5,20210429 15:10:48,15:10:48,32.50069765,5.158491926,1619723440,0.005665349,2.015325691,96.93303226,85.89413677,8.398983954,9.47839996,0.390681176,2.888022622,0.36351656,0.229480891,187.9584181,25.50418463,25.00339677,3.180321572,50.58982205,1.694374819,3.34924052,1.485946753,-249.8418996,135.5978227,9.975399786,83.68974096,33,7,1,0,51829.81525,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2336-20210429-15_10_23,10592.3,1132.2888,1364.64,0.170265565,0.5,854.9272224,2.015325691,72.78233308,1,0.003376276,0.182245867,-,0,1364.64,0.170265565,0.154152256,0.330537683,0.261335795,0,1,1000.000774,854.9272224,0.854926561,0.219853121,6,0.5,0: Broadleaf,2,1619723440,96.93303226,100.0102032,17.3279129,10.64775484,96.34833226,17.19914839,500.0343226,97.64996129,0.133010516,25.87429355,25.00339677,999.9,0,0,10000.16032,0,0.00152894,1000.000774,0.499946903,0.500053097,0,1132.370968,5.00017,10695.27742,7568.191613,42.683,45.12296774,44,44.875,45.09858065,497.4490323,497.5532258,0,120,0,1132.2888,-4.499999992,-33.69999995,10694.688,15,1619723402,15:10:01,1619723385,1619723402,4,0.028,-0.002,0.59,-0.042,100,11,0.18,0.02,2.0090625,-0.035015504,0.063350799,1,0.391936135,0.069748206,0.024067975,1,2,2,2/2,100,100,0.585,0.1276,0.416899557,0.001895663,-1.65232E-06,5.50892E-10,-0.058606897,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1.1,0.8,2,465.337,494.798,23.8137,28.7961,30.0002,28.8407,28.8441,7.29835,36.4818,29.2846,23.8112,100,10.5784,101.279,102.132
5,1619723569,488,20210429 15:12:48,15:12:48,23.27168631,11.30636972,1619723561,0.005811068,4.537534421,143.5553871,121.0091125,11.83517212,14.04028738,0.401325495,2.887919701,0.372717634,0.235348662,187.962138,25.49767213,24.99237097,3.178231646,50.40339632,1.691323495,3.355574463,1.48690815,-256.2680989,142.2767628,10.46821686,84.43901878,33,7,1,0,51821.79857,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2337-20210429-15_12_24,10592.2,1099.176,1376.83,0.201661788,0.5,854.9430788,4.537534421,86.20467509,1,0.006326361,0.171778651,-,0,1376.83,0.201661788,0.146596502,0.388251686,0.248526453,0,1,1000.019161,854.9430788,0.854926697,0.219853395,6,0.5,0: Broadleaf,2,1619723561,143.5553871,150.0010323,17.29299355,10.44077742,143.0105161,17.16346774,500.0347742,97.67094194,0.13303229,25.90619677,24.99237097,999.9,0,0,9997.420968,0,0.00152894,1000.019161,0.499942387,0.500057613,0,1099.226774,5.00017,10408.28387,7568.322581,42.75,45.187,44.062,44.9613871,45.183,497.4532258,497.5664516,0,120,0,1099.176,-3.65076922,-37.51538462,10407.556,15,1619723513,15:11:53,1619723502,1619723513,5,-0.111,0.002,0.554,-0.043,150,10,0.34,0.01,4.510610229,0.123552574,0.032998289,1,0.412839682,-0.013710718,0.003394154,1,2,2,2/2,100,100,0.545,0.1287,0.305993831,0.001895663,-1.65232E-06,5.50892E-10,-0.056621319,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1.1,0.9,2,465.294,494.168,23.8229,28.8089,30.0001,28.8506,28.8539,9.42584,37.3268,27.4093,23.8284,150,10.3721,101.278,102.131
6,1619723694,613.4000001,20210429 15:14:54,15:14:54,20.89499911,16.43287789,1619723686,0.005993101,6.836093477,190.4409,158.066608,15.46408129,18.63134533,0.41600099,2.889337973,0.385362121,0.24341579,187.9534413,25.46351447,24.99500333,3.178730498,50.47643713,1.695148306,3.35829627,1.483582192,-264.2957627,144.0695857,10.59579312,78.32305742,33,7,1,0,51860.5614,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2338-20210429-15_14_29,10591.9,1070.9896,1385.54,0.227023688,0.5,854.9062551,6.836093477,97.04198525,1,0.009015302,0.164412431,-,0,1385.54,0.227023688,0.141197764,0.43455239,0.239373921,0,1,999.9765,854.9062551,0.854926346,0.219852692,6,0.5,0: Broadleaf,2,1619723686,190.4409,200.0132,17.32701333,10.26035333,189.8300333,17.19474,500.0318667,97.69971,0.132978933,25.91989,24.99500333,999.9,0,0,10002.624,0,0.00152894,999.9765,0.499955033,0.500044933,0,1071.002333,5.00017,10160.07667,7568.03,42.812,45.25,44.12913333,45.01653333,45.25,497.444,497.534,0,124.8,0,1070.9896,-2.925384626,-17.8384615,10160.056,15,1619723647,15:14:07,1619723635,1619723647,6,0.001,0.002,0.623,-0.042,200,10,0.15,0.01,6.856708165,-0.200588204,0.122295272,1,0.420867355,0.062342819,0.025705404,1,2,2,2/2,100,100,0.611,0.1308,0.306784891,0.001895663,-1.65232E-06,5.50892E-10,-0.054949577,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1,0.8,2,465.439,493.361,23.8391,28.8256,30.0001,28.8654,28.8687,11.5247,37.4756,26.0902,23.8426,200,10.212,101.278,102.131
7,1619723815,733.9000001,20210429 15:16:54,15:16:54,19.67981023,21.54107082,1619723807,0.006129223,9.132484348,237.2952333,195.087287,19.08267438,23.21129039,0.423956841,2.888029083,0.392169564,0.24776303,187.9619596,25.43115653,24.99876333,3.179443163,50.27395981,1.688716757,3.359028737,1.490726406,-270.2987127,143.9923842,10.59531115,72.25094229,33,7,1,0,51822.1724,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2339-20210429-15_16_30,10592.1,1051.052,1396.62,0.247431656,0.5,854.944859,9.132484348,105.7702113,1,0.011700905,0.155174636,-,0,1396.62,0.247431656,0.134330023,0.470205838,0.227730975,0,1,1000.021633,854.944859,0.854926364,0.219852728,6,0.5,0: Broadleaf,2,1619723807,237.2952333,249.9985333,17.26420333,10.03668667,236.6171333,17.13587333,500.0395,97.68306,0.133023633,25.92357333,24.99876333,999.9,0,0,9996.809,0,0.00152894,1000.021633,0.499953933,0.500046067,0,1051.068,5.00017,9981.275667,7568.375333,42.875,45.312,44.187,45.062,45.2996,497.4653333,497.5563333,0,119.5999999,0,1051.052,-1.976923085,-23.62307693,9981.2028,15,1619723758,15:15:57,1619723750,1619723758,7,0.008,-0.002,0.693,-0.049,250,10,0.15,0.01,9.090689412,0.15871196,0.040255817,1,0.438591426,-0.020485218,0.00431131,1,2,2,2/2,100,100,0.678,0.128,0.314888853,0.001895663,-1.65232E-06,5.50892E-10,-0.056889206,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1.1,0.9,2,465.575,492.582,23.8857,28.8355,30.0002,28.8752,28.8788,13.5903,37.6406,24.3424,23.8864,250,9.98375,101.279,102.133
8,1619723941,859.9000001,20210429 15:19:00,15:19:00,19.25979782,25.53223563,1619723933,0.006300766,11.18915479,284.4255667,234.2470965,22.90711634,27.81408881,0.438236391,2.887916753,0.404362185,0.255551281,187.9561558,25.38672294,25.00428667,3.180490302,50.4496333,1.694704304,3.359200439,1.485785998,-277.8637812,143.2612525,10.54226084,63.895888,33,7,1,0,51818.25908,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2340-20210429-15_18_36,10592.4,1038.124,1420.77,0.269322973,0.5,854.9191761,11.18915479,115.124687,1,0.014106947,0.135539179,-,0,1420.77,0.269322973,0.119361077,0.504092327,0.202353977,0,1,999.9917,854.9191761,0.854926272,0.219852544,6,0.5,0: Broadleaf,2,1619723933,284.4255667,300.0021667,17.32996667,9.900509333,283.6871667,17.19722667,500.0290333,97.65740667,0.132989367,25.92443667,25.00428667,999.9,0,0,9998.789667,0,0.00152894,999.9917,0.499956633,0.500043367,0,1038.113667,5.00017,9861.161,7568.148,42.875,45.312,44.1954,45.062,45.312,497.4543333,497.5393333,0,125.4000001,0,1038.124,-0.627692304,-6.768461562,9861.1532,15,1619723894,15:18:13,1619723883,1619723894,8,0.006,0.002,0.755,-0.05,300,10,0.08,0.01,11.1963171,-0.256227265,0.185105042,1,0.442439712,0.074571097,0.027560621,1,2,2,2/2,100,100,0.739,0.1316,0.321083934,0.001895663,-1.65232E-06,5.50892E-10,-0.054575445,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1,0.8,2,465.644,491.571,23.8346,28.838,30,28.8801,28.8834,15.6071,37.6746,23.026,23.8343,300,9.81036,101.284,102.134
9,1619724061,980.4000001,20210429 15:21:01,15:21:01,19.37823372,28.53143415,1619724053,0.006484421,12.90050424,331.9470645,275.4313261,26.93407042,32.46067082,0.452150571,2.88785399,0.416184993,0.263108173,187.9602696,25.2824084,24.98994516,3.177771999,50.53906549,1.692101224,3.348105486,1.485670774,-285.962946,136.793238,10.06295996,48.85352151,33,7,1,0,51826.11505,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2341-20210429-15_20_36,10592.7,1031.6444,1450.54,0.288785969,0.5,854.935977,12.90050424,123.4467574,1,0.016108398,0.112234065,-,0,1450.54,0.288785969,0.100908674,0.531021138,0.171071441,0,1,1000.011065,854.935977,0.854926518,0.219853035,6,0.5,0: Broadleaf,2,1619724053,331.9470645,350.0090323,17.30364839,9.657673871,331.0437097,17.17301935,500.0448065,97.65568065,0.133016065,25.86857097,24.98994516,999.9,0,0,9998.605806,0,0.00152894,1000.011065,0.499947903,0.500052097,0,1031.627097,5.00017,9798.316774,7568.277419,42.875,45.31606452,44.25,45.062,45.312,497.4551613,497.5564516,0,120,0,1031.6444,-0.692307691,-12.87538463,9798.1568,15,1619724009,15:20:08,1619724008,1619724009,9,0.116,-0.001,0.921,-0.053,350,10,0.11,0.01,12.87575578,0.045741805,0.059989847,1,0.467756239,-0.013730592,0.0053434,1,2,2,2/2,100,100,0.903,0.1301,0.43687314,0.001895663,-1.65232E-06,5.50892E-10,-0.055850292,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,0.9,0.9,2,465.838,491,23.9693,28.8355,30.0001,28.8801,28.8858,17.6044,37.9827,21.3929,23.9709,350,9.58883,101.286,102.135
10,1619724189,1107.9,20210429 15:23:08,15:23:08,19.5056956,31.19811463,1619724181,0.006675919,14.55710582,379.4975333,317.1830847,31.01404581,37.10712977,0.466602101,2.888174119,0.428408576,0.270925893,187.957136,25.25294277,24.99206,3.17817272,50.48565449,1.692415529,3.352270158,1.48575719,-294.408044,139.7472507,10.28032206,43.57666465,32,6,1,0,51831.42265,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2342-20210429-15_22_44,10592.9,1030.600769,1473.01,0.300343671,0.5,854.918775,14.55710582,128.3847216,1,0.018046452,0.095267513,-,0,1473.01,0.300343671,0.086981046,0.545296143,0.147459799,0,1,999.9905,854.918775,0.854926897,0.219853794,6,0.5,0: Broadleaf,2,1619724181,379.4975333,400.0046,17.30846667,9.436658333,378.4953667,17.17681333,500.0403333,97.64663333,0.1330003,25.88956,24.99206,999.9,0,0,10001.37167,0,0.00152894,999.9905,0.4999356,0.5000644,0,1030.584,5.00017,9783.384,7568.088,42.875,45.312,44.25,45.062,45.312,497.4323333,497.559,0,126.5999999,0,1030.600769,0.230427368,-7.973675209,9783.372692,15,1619724138,15:22:17,1619724130,1619724138,10,0.055,0.001,1.02,-0.056,400,9,0.09,0.01,14.56318034,-0.240641831,0.176089697,1,0.481131538,0.0056104,0.01081542,1,2,2,2/2,100,100,1.002,0.1309,0.491426166,0.001895663,-1.65232E-06,5.50892E-10,-0.054950159,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1,0.8,2,465.965,490.073,23.9003,28.8281,29.9999,28.8752,28.8785,19.5584,38.277,20.1427,23.9056,400,9.40231,101.291,102.141
11,1619724309,1228.4,20210429 15:25:09,15:25:09,19.95486371,33.15301576,1619724301,0.006835284,15.87248322,427.4644,360.5555189,35.25464614,41.79690885,0.478764386,2.888090132,0.438644402,0.277476663,187.959156,25.20460358,24.99926667,3.179538575,50.54725971,1.693848595,3.351019628,1.48568998,-301.436012,137.6401622,10.12565679,34.28896299,32,6,1,0,51830.09593,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2343-20210429-15_24_44,10593,1032.837308,1498.38,0.310697348,0.5,854.9267911,15.87248322,132.8117434,1,0.019584867,0.076722861,-,0,1498.38,0.310697348,0.071255904,0.556410543,0.120800816,0,1,999.9997,854.9267911,0.854927048,0.219854095,6,0.5,0: Broadleaf,2,1619724301,427.4644,450.0161,17.32329,9.263573,426.4644333,17.18814333,500.033,97.64569333,0.1329962,25.88326,24.99926667,999.9,0,0,10000.98533,0,0.00152894,999.9997,0.4999316,0.5000684,0,1032.835,5.00017,9800.962,7568.144333,42.937,45.3435,44.25,45.062,45.3162,497.4323333,497.569,0,120,0,1032.837308,-0.979487177,-14.94803418,9800.834231,15,1619724255,15:24:15,1619724241,1619724255,11,-0.042,0.003,1.017,-0.055,450,9,0.07,0.01,15.84019933,0.11802892,0.055176292,1,0.496586643,-0.021145075,0.005527331,1,2,2,2/2,100,100,1,0.1346,0.449305704,0.001895663,-1.65232E-06,5.50892E-10,-0.051847868,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1.1,0.9,2,465.951,489.005,23.9315,28.8232,30.0003,28.8714,28.876,21.4723,38.8636,18.8461,23.9033,450,9.1744,101.294,102.144
12,1619724430,1348.9,20210429 15:27:09,15:27:09,20.73882538,34.07814361,1619724422,0.006987974,16.76753892,475.9018065,406.1560967,39.71565765,46.53568757,0.492032052,2.88823648,0.449764623,0.284597256,187.9567876,25.16182341,24.98488065,3.17681255,50.6009198,1.695392923,3.350517994,1.481419627,-308.1696376,139.4935967,10.26061515,29.54136197,32,6,1,0,51834.83421,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2344-20210429-15_26_45,10593,1034.7136,1501.82,0.311026887,0.5,854.9199996,16.76753892,132.9515532,1,0.02063197,0.074256569,-,0,1501.82,0.311026887,0.069123681,0.555993531,0.117186039,0,1,999.9923548,854.9199996,0.854926536,0.219853071,6,0.5,0: Broadleaf,2,1619724422,475.9018065,500.0117419,17.33810323,9.098546129,474.8074516,17.20473226,500.0377097,97.6512129,0.133008419,25.88073226,24.98488065,999.9,0,0,10001.26097,0,0.00152894,999.9923548,0.499947935,0.500052065,0,1034.747419,5.00017,9817.385161,7568.130968,43,45.397,44.312,45.0863871,45.375,497.4451613,497.5477419,0,120,0,1034.7136,-1.514615386,-11.17999994,9817.186,15,1619724378,15:26:18,1619724369,1619724378,12,0.058,-0.002,1.111,-0.06,500,9,0.06,0.01,16.76145169,-0.09069622,0.158813835,1,0.507353336,0.002267158,0.0076896,1,2,2,2/2,100,100,1.095,0.1324,0.507740128,0.001895663,-1.65232E-06,5.50892E-10,-0.054194171,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1,0.9,2,466.2,488.549,23.9205,28.8256,30.0001,28.8727,28.876,23.3655,39.0194,17.4577,23.9239,500,9.02223,101.296,102.145
13,1619724567,1486.4,20210429 15:29:27,15:29:27,22.75219082,35.54034725,1619724559,0.007161036,17.86992682,573.635,498.8639449,48.78234912,56.09397737,0.502806759,2.887588962,0.4587476,0.290353378,187.9592996,25.11250947,24.99336667,3.17842033,50.44953616,1.689967868,3.349818445,1.488452462,-315.8016747,137.5924073,10.12329221,19.87332432,32,6,1,0,51817.00866,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2345-20210429-15_29_02,10593.1,1034.5272,1500.66,0.310618528,0.5,854.928027,17.86992682,132.7782426,1,0.021921227,0.075086962,-,0,1500.66,0.310618528,0.069842687,0.555601803,0.118404975,0,1,1000.001233,854.928027,0.854926973,0.219853945,6,0.5,0: Broadleaf,2,1619724559,573.635,600.0063667,17.28215333,8.838038333,572.421,17.14577333,500.0366,97.65385667,0.133024133,25.87720667,24.99336667,999.9,0,0,9997.27,0,0.00152894,1000.001233,0.4999333,0.500066733,0,1034.533,5.00017,9819.077333,7568.171,43,45.4412,44.375,45.125,45.43286667,497.435,497.5666667,0,136.8,0,1034.5272,-1.785384617,-24.70692312,9818.9168,15,1619724516,15:28:36,1619724506,1619724516,13,0.059,0.005,1.228,-0.056,600,9,0.1,0.01,17.90640289,-0.398120008,0.227780987,1,0.520814468,-0.003563962,0.010130159,1,2,2,2/2,100,100,1.214,0.1355,0.566954237,0.001895663,-1.65232E-06,5.50892E-10,-0.049164933,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1,0.8,2,466.294,487.694,23.9199,28.83,30.0001,28.8752,28.8785,27.0622,39.5055,15.7738,23.9241,600,8.77047,101.298,102.148
14,1619724701,1620.4,20210429 15:31:41,15:31:41,27.57308404,36.53567896,1619724693,0.007236287,18.60117479,771.0000323,689.6769576,67.44122191,75.39353562,0.509123556,2.887158414,0.463997456,0.293718774,187.9589941,25.0911603,24.99667742,3.179047785,50.51422275,1.691995718,3.349543209,1.487052067,-319.1202608,136.8406264,10.06957882,15.74893857,32,6,1,0,51804.94974,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2346-20210429-15_31_16,10593.1,1031.7908,1480.97,0.303300675,0.5,854.927472,18.60117479,129.6500395,1,0.022776575,0.089380609,-,0,1480.97,0.303300675,0.082047182,0.548261447,0.139095373,0,1,1000.00071,854.927472,0.854926865,0.219853731,6,0.5,0: Broadleaf,2,1619724693,771.0000323,800.0143548,17.30292581,8.770249677,769.7317097,17.1676,500.0361935,97.65369677,0.132986065,25.87581935,24.99667742,999.9,0,0,9994.813226,0,0.00152894,1000.00071,0.499935452,0.500064548,0,1031.754194,5.00017,9796.602903,7568.15871,43.004,45.4613871,44.375,45.129,45.433,497.4383871,497.5629032,0,133.4000001,0,1031.7908,0.769999998,9.975384575,9796.8196,15,1619724649,15:30:48,1619724648,1619724649,14,-0.03,-0.002,1.278,-0.06,800,9,0.11,0.01,18.55714053,-0.182985938,0.388426817,1,0.529076275,-0.012075506,0.011766984,1,2,2,2/2,100,100,1.269,0.1339,0.537013024,0.001895663,-1.65232E-06,5.50892E-10,-0.050978611,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,0.9,0.9,2,466.258,487.682,23.8868,28.8355,30.0001,28.8801,28.885,34.2011,39.1041,14.2994,23.886,800,8.73603,101.296,102.146
15,1619724846,1765.4,20210429 15:34:06,15:34:06,33.23610803,36.10240644,1619724838,0.007160648,18.13017945,969.9439355,884.5382806,86.49556494,94.84705241,0.502187561,2.887956178,0.458236842,0.290025603,187.9591107,25.11262671,24.99582581,3.178886376,50.41675966,1.688862472,3.349803683,1.490023904,-315.7845742,137.2154429,10.09439442,19.48437376,32,6,1,0,51827.49367,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2347-20210429-15_33_41,10593.1,1031.344615,1454.01,0.290689462,0.5,854.9287543,18.13017945,124.2593898,1,0.022225623,0.109579714,-,0,1454.01,0.290689462,0.098757856,0.533453417,0.167425139,0,1,1000.002323,854.9287543,0.854926769,0.219853537,6,0.5,0: Broadleaf,2,1619724838,969.9439355,1000.032677,17.27098387,8.827169355,968.4559032,17.13650968,500.033,97.65311935,0.132998935,25.87713226,24.99582581,999.9,0,0,9999.455161,0,0.00152894,1000.002323,0.499941516,0.500058484,0,1031.385806,5.00017,9790.568065,7568.194194,43.062,45.5,44.405,45.177,45.437,497.4422581,497.5603226,0,144.5999999,0,1031.344615,-4.343247871,-43.65367518,9790.068846,15,1619724795,15:33:14,1619724783,1619724795,15,0.163,0,1.495,-0.061,1000,9,0.07,0.01,18.12503776,-0.274917041,0.429496492,1,0.520902344,-0.006735868,0.009792159,1,2,2,2/2,100,100,1.488,0.133,0.701495905,0.001895663,-1.65232E-06,5.50892E-10,-0.050751908,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1.1,0.9,2,466.275,487.501,23.9039,28.8454,30.0001,28.89,28.8932,41.043,37.9443,12.7253,23.9047,1000,8.82817,101.3,102.147
16,1619724967,1886.4,20210429 15:36:07,15:36:07,38.78083358,36.04532487,1619724959,0.007005551,17.59764473,1169.052333,1078.901888,105.5018996,114.3173845,0.488208798,2.887998562,0.446562817,0.282546846,187.9582581,25.15831925,24.99838333,3.179371132,50.24155064,1.683469618,3.350751711,1.495901515,-308.9448122,137.5631392,10.12019775,26.69678282,32,6,1,0,51827.88135,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2348-20210429-15_35_42,10593,1028.086154,1437.07,0.284595633,0.5,854.9253915,17.59764473,121.6540164,1,0.021602808,0.1226593,-,0,1437.07,0.284595633,0.109257813,0.527463009,0.185225816,0,1,999.9984667,854.9253915,0.854926702,0.219853405,6,0.5,0: Broadleaf,2,1619724959,1169.052333,1199.995333,17.21579,8.95439,1167.389,17.08124,500.0323333,97.65337667,0.132993733,25.88191,24.99838333,999.9,0,0,9999.672333,0,0.00152894,999.9984667,0.499942967,0.500057033,0,1028.097,5.00017,9758.161333,7568.167,43.0662,45.5,44.437,45.2038,45.5,497.4423333,497.556,0,120.5999999,0,1028.086154,-0.7863248,4.646837525,9758.445385,15,1619724914,15:35:14,1619724906,1619724914,16,0.125,0.002,1.672,-0.059,1200,9,0.07,0.01,17.5025378,-0.031660266,0.344486772,1,0.509129912,-0.025843458,0.007830559,1,2,2,2/2,100,100,1.66,0.1336,0.825436149,0.001895663,-1.65232E-06,5.50892E-10,-0.048797275,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1,0.9,2,466.234,487.693,23.9005,28.8479,30.0001,28.8924,28.8979,47.6246,36.3645,11.8746,23.9016,1200,8.98588,101.302,102.149
17,1619725106,2025.4,20210429 15:38:26,15:38:26,43.84933569,37.71342681,1619725098,0.006698938,17.44348858,1368.06871,1270.272248,124.227888,133.7920172,0.462527276,2.888362189,0.424971415,0.268726803,187.9569433,25.31006798,25.00056129,3.179783995,49.8234211,1.676470354,3.364823846,1.503313641,-295.4231875,148.2630405,10.90999479,51.7067911,32,6,1,0,51826.20948,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,951.6492,0.589862769,-0.871144486,MPF-2349-20210429-15_38_01,10593.1,1029.108462,1420.07,0.275311455,0.5,854.9234525,17.44348858,117.68511,1,0.021422541,0.136098925,-,0,1420.07,0.275311455,0.11979496,0.515522496,0.203089542,0,1,999.9968065,854.9234525,0.854926183,0.219852365,6,0.5,0: Broadleaf,2,1619725098,1368.06871,1399.996129,17.14247742,9.242123226,1366.227097,17.01261613,500.0359677,97.6632871,0.132983129,25.95269032,25.00056129,999.9,0,0,10000.74677,0,0.00152894,999.9968065,0.499960677,0.500039323,0,1029.012903,5.00017,9765.615161,7568.195806,43.07419355,45.512,44.437,45.20732258,45.5,497.4590323,497.5380645,0,138.5999999,0,1029.108462,8.188717948,69.39897434,9766.480769,15,1619725055,15:37:34,1619725046,1619725055,17,0.106,-0.002,1.858,-0.056,1400,9,0.1,0.01,17.30583997,0.093497045,0.612579177,1,0.482500505,-0.026180246,0.008934075,1,2,2,2/2,100,100,1.84,0.1286,0.931463584,0.001895663,-1.65232E-06,5.50892E-10,-0.051161012,-0.014468199,0.001589117,-6.65655E-06,1,1961,2,22,1,0.9,2,466.194,488.133,23.9033,28.8481,30,28.8949,28.8981,53.9918,33.7553,11.2195,23.9063,1400,9.32178,101.303,102.151
