SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1621187005,244,20210516 13:43:24,13:43:24,42.84752577,3.769446263,1621186997,0.005378508,5.378508169,1.42011107,97.66929032,89.0072042,8.843647209,9.704301517,0.376742622,2.918482832,0.351659878,0.221901695,219.8536746,25.78844797,24.98631935,3.177085081,50.54864174,1.694685144,3.35258295,1.482399937,-237.1922102,142.3648975,10.36390733,135.3902693,0,0,1,0,52736.08249,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1799-20210516-13_43_22,10689.2,1034.107692,1198.81,0.137388166,0.5,854.9271738,1.42011107,58.72843838,0.002680059,0.34578457,579.5057947,-,0,579.5057947,0.516599132,0.265947343,0.400963711,0.306640142,0.435591182,0.149034793,0.850965207,1000.000452,854.9271738,0.854926788,0.219853575,6,0.5,0: Broadleaf,2,1621186997,97.66929032,100.0032226,17.05621935,10.71366774,98.93662903,17.20657097,500.1240645,99.22586129,0.132918581,25.89113548,24.98631935,999.9,0,0,10014.57484,0,0.242547806,1000.000452,0.499940129,0.500059871,0,1034.147742,4.99921,9906.416129,6673.720968,42.875,45.625,44.125,44.69919355,44.893,497.4412903,497.5596774,0,120.6000001,0,1034.107692,-2.754871803,-33.86188034,9905.978462,15,1621186958,13:42:38,1621186944,1621186958,20,0.047,0,-1.269,-0.131,100,11,0.3,0.01,1.415574036,-0.020513971,0.050422753,1,0.367611801,0.072343954,0.020408034,1,2,2,2/2,100,100,-1.267,-0.1503,-1.19538295,-0.000741083,1.37997E-07,2.4068E-11,-0.104802239,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1,0.8,2,510.162,463.587,23.3529,28.439,29.9999,28.3768,28.3626,7.26873,28.2846,18.9494,23.3651,100,10.5961,99.382,99.2128
4,1621187125,364.5,20210516 13:45:25,13:45:25,29.90694937,8.600820307,1621187117,0.005592378,5.592378066,3.370254238,144.9972581,127.0566483,12.62463755,14.40725734,0.391852651,2.915488784,0.364769309,0.23025797,219.8529133,25.75873878,24.98862903,3.17752264,50.37501004,1.691496563,3.357808885,1.486026077,-246.6238727,145.9901484,10.64026461,129.8594536,0,0,1,0,52645.07788,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1800-20210516-13_45_22,10689.5,1008.9536,1194.3,0.155192498,0.5,854.9248705,3.370254238,66.338963,0.004961136,0.350866616,578.449862,-,0,578.449862,0.515657823,0.300960231,0.404912545,0.347996993,0.440330323,0.172545501,0.827454499,999.997871,854.9248705,0.854926691,0.219853381,6,0.5,0: Broadleaf,2,1621187117,144.9972581,150.0132581,17.02352903,10.42870645,146.2730323,17.17095484,500.1356129,99.22925161,0.133022774,25.91743871,24.98862903,999.9,0,0,9997.115806,0,0.241825968,999.997871,0.499943226,0.500056774,0,1009.013226,4.99921,9680.539677,6673.711613,42.875,45.625,44.125,44.67906452,44.901,497.4432258,497.5551613,0,120,0,1008.9536,-3.516153848,-30.27076929,9680.0908,15,1621187077,13:44:36,1621187058,1621187077,21,0.025,0.003,-1.279,-0.127,150,10,0.21,0.01,3.372753705,-0.106591246,0.053178545,1,0.388173847,0.035466831,0.012993434,1,2,2,2/2,100,100,-1.276,-0.1474,-1.170190564,-0.000741083,1.37997E-07,2.4068E-11,-0.101935983,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1.1,0.8,2,510.208,463.545,23.4092,28.4171,30,28.364,28.3511,9.3793,28.8186,17.9487,23.4157,150,10.3268,99.3855,99.2173
5,1621187257,496.5,20210516 13:47:37,13:47:37,26.17352194,12.90734668,1621187249,0.005791917,5.791917133,5.255739517,192.3728065,166.0081503,16.49506308,19.11473365,0.407189769,2.915350384,0.378028132,0.23871337,219.8536043,25.73135921,24.99767419,3.179236715,50.38128118,1.694191548,3.362740105,1.485045167,-255.4235456,148.4574155,10.8224421,123.7099164,0,0,1,0,52636.73477,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1801-20210516-13_47_34,10689.8,985.6494231,1197.4,0.176841972,0.5,854.9282441,5.255739517,75.59359818,0.007166548,0.3473693,579.1761107,-,0,579.1761107,0.516305236,0.342514388,0.402199307,0.395271496,0.437072821,0.201264411,0.798735589,1000.001935,854.9282441,0.854926589,0.219853179,6,0.5,0: Broadleaf,2,1621187249,192.3728065,200.0146774,17.05053226,10.22058387,193.7262581,17.20058387,500.135129,99.2299871,0.132984226,25.94222581,24.99767419,999.9,0,0,9996.250968,0,0.242547806,1000.001935,0.499945806,0.500054194,0,985.6848387,4.99921,9470.051613,6673.743226,42.85874194,45.625,44.125,44.669,44.883,497.4487097,497.553871,0,131.4000001,0,985.6494231,-2.512991444,-27.68102566,9469.820385,15,1621187211,13:46:50,1621187190,1621187211,22,-0.045,-0.003,-1.359,-0.129,200,10,0.2,0.02,5.277912408,-0.166645128,0.094362731,1,0.398380187,0.072250475,0.021363676,1,2,2,2/2,100,100,-1.353,-0.1499,-1.215278144,-0.000741083,1.37997E-07,2.4068E-11,-0.104517147,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1.1,0.8,2,510.253,463.33,23.4535,28.3929,30,28.3453,28.3359,11.4786,28.8572,16.7103,23.461,200,10.1209,99.3862,99.2192
6,1621187387,626.5,20210516 13:49:47,13:49:47,24.63279993,16.65273063,1621187379,0.005992478,5.992477751,7.022249065,239.8398333,205.9583399,20.46398545,23.83044484,0.421687543,2.917502046,0.390518776,0.246682364,219.8532651,25.69940582,25.00007,3.17969086,50.26767848,1.692403586,3.366782866,1.487287274,-264.2682688,151.3827163,11.02881442,117.996527,0,0,1,0,52695.19353,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1802-20210516-13_49_44,10690.1,966.64848,1199.97,0.194439461,0.5,854.9271789,7.022249065,83.11578992,0.009232826,0.344483612,579.7767239,-,0,579.7767239,0.516840651,0.376207755,0.399946486,0.433458176,0.434372246,0.225642003,0.774357997,1000.000733,854.9271789,0.854926552,0.219853104,6,0.5,0: Broadleaf,2,1621187379,239.8398333,249.9884333,17.03307667,9.966524,241.3307,17.18633,500.137,99.22680667,0.1330224,25.96252333,25.00007,999.9,0,0,10008.87,0,0.242676133,1000.000733,0.4999488,0.5000512,0,966.7109667,4.99921,9297.512333,6673.744333,42.8582,45.625,44.125,44.67046667,44.8624,497.4496667,497.5523333,0,129.6000001,0,966.64848,-2.407076912,-26.46076918,9297.198,15,1621187340,13:49:00,1621187324,1621187340,23,-0.105,-0.003,-1.498,-0.131,250,10,0.18,0.02,7.063334081,-0.269116473,0.118051799,1,0.413528898,0.069370508,0.021391891,1,2,2,2/2,100,100,-1.491,-0.1532,-1.320412226,-0.000741083,1.37997E-07,2.4068E-11,-0.107731607,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1.1,0.8,2,510.377,463.356,23.4856,28.3643,29.9999,28.3199,28.3094,13.549,29.3558,15.5388,23.5004,250,9.86395,99.3887,99.2235
7,1621187508,747.5,20210516 13:51:48,13:51:48,23.82404203,20.12945074,1621187500,0.00615908,6.159079553,8.726824637,287.4231613,246.4555472,24.48711244,28.55753642,0.433535159,2.915616649,0.400643979,0.253149362,219.8529791,25.67749502,25.00569677,3.180757685,50.15503432,1.690790814,3.371128816,1.48996687,-271.6154083,153.8264782,11.21564535,113.2796944,0,0,1,0,52636.8794,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1803-20210516-13_51_45,10690.3,952.7446923,1201.43,0.206991092,0.5,854.9277152,8.726824637,88.48121069,0.011226644,0.342849771,580.1173365,-,0,580.1173365,0.517144289,0.400257909,0.398665278,0.460750873,0.432838067,0.243713299,0.756286701,1000.001645,854.9277152,0.854926309,0.219852617,6,0.5,0: Broadleaf,2,1621187500,287.4231613,300.0161613,17.01730968,9.754208387,288.9659355,17.16454839,500.139129,99.22409677,0.133019387,25.98431935,25.00569677,999.9,0,0,9998.365806,0,0.242547806,1000.001645,0.499956323,0.500043677,0,952.7979677,4.99921,9172.055484,6673.769677,42.83029032,45.625,44.125,44.645,44.87696774,497.4577419,497.5441935,0,120.6000001,0,952.7446923,-2.839999995,-28.91247862,9171.691923,15,1621187462,13:51:01,1621187446,1621187462,24,-0.02,0.006,-1.551,-0.125,300,10,0.14,0.02,8.749967163,-0.240733931,0.137254774,1,0.42567885,0.067940962,0.020901033,1,2,2,2/2,100,100,-1.543,-0.1471,-1.34071688,-0.000741083,1.37997E-07,2.4068E-11,-0.101787345,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1,0.8,2,510.165,463.304,23.5131,28.3251,29.9998,28.285,28.2755,15.5578,30.1446,14.4471,23.5249,300,9.63883,99.394,99.2332
8,1621187629,868.4000001,20210516 13:53:49,13:53:49,23.70689086,23.09488981,1621187621,0.006253068,6.253068311,10.21062284,335.251129,288.0903883,28.62469879,33.31059617,0.44211611,2.916496624,0.407974401,0.257831434,219.8525765,25.655172,24.98807742,3.177418134,50.17946909,1.691830275,3.371558739,1.485587859,-275.7603125,156.9820841,11.44138243,112.5157305,0,0,1,0,52661.95994,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1804-20210516-13_53_46,10690.5,943.9247308,1209.31,0.219451811,0.5,854.9265766,10.21062284,93.80759264,0.012962245,0.334099611,581.9483451,-,0,581.9483451,0.518776538,0.423017995,0.391732857,0.484616444,0.424557705,0.260798996,0.739201004,1000.000387,854.9265766,0.854926246,0.219852491,6,0.5,0: Broadleaf,2,1621187621,335.251129,350.0154194,17.02725484,9.653375161,336.8557097,17.17328065,500.138,99.22714839,0.132982839,25.98647419,24.98807742,999.9,0,0,10003.08742,0,0.238938613,1000.000387,0.499958065,0.500041935,0,943.9526774,4.99921,9091.416129,6673.762903,42.812,45.625,44.125,44.629,44.875,497.4590323,497.5412903,0,120.6000001,0,943.9247308,-4.369470096,-35.49401711,9090.983077,15,1621187578,13:52:57,1621187561,1621187578,25,-0.031,0.001,-1.614,-0.123,350,10,0.12,0.01,10.20748751,-0.072927006,0.052190575,1,0.441861779,0.009429965,0.005324351,1,2,2,2/2,100,100,-1.604,-0.146,-1.371444276,-0.000741083,1.37997E-07,2.4068E-11,-0.100532703,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1.1,0.9,2,510.477,463.199,23.5573,28.2865,29.9998,28.2464,28.2375,17.5197,30.4827,13.4393,23.5717,350,9.56277,99.398,99.2423
9,1621187750,989.4000001,20210516 13:55:50,13:55:50,24.11078598,25.38670258,1621187742,0.006343837,6.343836695,11.39722867,383.4273226,331.1816601,32.90729526,38.09859552,0.448944822,2.914365322,0.413761657,0.261531951,219.851721,25.64449476,24.99514839,3.178757988,50.16445352,1.692654397,3.374210777,1.486103592,-279.7631983,157.8440392,11.513796,109.4463579,0,0,1,0,52598.19357,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1805-20210516-13_55_47,10690.7,939.9843846,1221.51,0.230473443,0.5,854.9242023,11.39722867,98.51866221,0.014350247,0.320775106,584.7588633,-,0,584.7588633,0.521281968,0.442128171,0.380942238,0.502886674,0.411737855,0.275045385,0.724954615,999.9977742,854.9242023,0.854926105,0.21985221,6,0.5,0: Broadleaf,2,1621187742,383.4273226,400.0181613,17.03500968,9.554212903,385.0071613,17.18117097,500.142129,99.23023871,0.133038968,25.99976129,24.99514839,999.9,0,0,9990.59871,0,0.239901065,999.9977742,0.499964097,0.500035903,0,940.0595161,4.99921,9056.576774,6673.756452,42.812,45.625,44.125,44.62093548,44.85467742,497.4625806,497.5354839,0,120.6000001,0,939.9843846,-3.495999991,-45.99418807,9056.076538,15,1621187700,13:54:59,1621187689,1621187700,26,0.055,0,-1.59,-0.122,400,9,0.11,0.01,11.41385664,-0.289557484,0.165228496,1,0.446740858,0.027307271,0.011194619,1,2,2,2/2,100,100,-1.579,-0.1461,-1.316066039,-0.000741083,1.37997E-07,2.4068E-11,-0.100653089,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1,0.8,2,510.226,463.245,23.575,28.2503,29.9999,28.2102,28.2008,19.4434,30.2172,12.3469,23.5816,400,9.46582,99.4024,99.2477
10,1621187873,1112.4,20210516 13:57:53,13:57:53,24.64383612,27.55362639,1621187865,0.006395865,6.395865132,12.45962124,431.7396,374.6266664,37.22376643,42.89863875,0.452195332,2.916297082,0.416544159,0.263308593,219.8511084,25.63471596,24.99279333,3.178311682,50.07570091,1.690019873,3.37493004,1.488291809,-282.0576523,158.8852597,11.58214282,108.2608586,0,0,1,0,52653.27367,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1806-20210516-13_57_50,10691.1,939.61516,1229.68,0.235886442,0.5,854.9252314,12.45962124,100.8326355,0.015592902,0.31199987,586.6246847,-,0,586.6246847,0.52294525,0.451072922,0.373677098,0.510687245,0.403152758,0.281615838,0.718384162,999.9995667,854.9252314,0.854925602,0.219851204,6,0.5,0: Broadleaf,2,1621187865,431.7396,449.9997333,17.00866333,9.466245,433.5599667,17.15455667,500.1377333,99.2293,0.1329979,26.00336333,24.99279333,999.9,0,0,10001.73,0,0.2394439,999.9995667,0.499980333,0.500019667,0,939.6597667,4.99921,9054.964333,6673.813333,42.812,45.625,44.125,44.6019,44.8582,497.4806667,497.52,0,122.4000001,0,939.61516,-4.424923089,-49.07692307,9054.4928,15,1621187822,13:57:02,1621187806,1621187822,27,-0.211,0,-1.832,-0.122,450,9,0.12,0.02,12.47541382,-0.265263148,0.134379258,1,0.451104366,0.017112642,0.008132702,1,2,2,2/2,100,100,-1.82,-0.1458,-1.527026352,-0.000741083,1.37997E-07,2.4068E-11,-0.100452889,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1.1,0.8,2,510.402,463.249,23.5755,28.2183,30.0001,28.1767,28.1696,21.3332,29.9026,11.2712,23.5851,450,9.41945,99.4042,99.2532
11,1621188004,1243.4,20210516 14:00:04,14:00:04,25.55888693,29.38432575,1621187996,0.006398889,6.398888689,13.23259067,480.4365,419.018019,41.63419095,47.7368134,0.450328205,2.917860644,0.414975862,0.262304522,219.8510288,25.63252269,25.00231667,3.180116786,49.94610657,1.685487903,3.374613195,1.494628883,-282.1909912,157.2227569,11.45526725,106.3380618,0,0,1,0,52698.66029,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1807-20210516-14_00_01,10691.3,939.1953077,1236.86,0.240661588,0.5,854.9269547,13.23259067,102.8740395,0.016497006,0.304383681,588.2537437,-,0,588.2537437,0.524397471,0.458929727,0.367266655,0.517525438,0.395607961,0.287445144,0.712554856,1000.001933,854.9269547,0.854925302,0.219850604,6,0.5,0: Broadleaf,2,1621187996,480.4365,499.9991333,16.96321667,9.416960333,482.2770333,17.10933667,500.1428,99.22833333,0.133004533,26.00177667,25.00231667,999.9,0,0,10010.76667,0,0.2394439,1000.001933,0.4999897,0.5000103,0,939.2460667,4.99921,9050.639,6673.855,42.812,45.562,44.062,44.5998,44.8624,497.491,497.5103333,0,130.6000001,0,939.1953077,-3.523282043,-42.55282051,9050.277308,15,1621187953,13:59:13,1621187944,1621187953,28,0.009,0,-1.852,-0.122,500,9,0.18,0.01,13.26806422,-0.396160912,0.18310785,1,0.449997169,0.019509933,0.010725095,1,2,2,2/2,100,100,-1.841,-0.146,-1.517849368,-0.000741083,1.37997E-07,2.4068E-11,-0.100756272,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1,0.8,2,510.146,463.472,23.5772,28.1998,29.9999,28.1549,28.1455,23.1863,28.4721,10.2343,23.575,500,9.37972,99.4063,99.2551
12,1621188125,1363.9,20210516 14:02:04,14:02:04,28.29474046,31.92131296,1621188117,0.006253678,6.25367792,14.05607453,578.7876129,510.8065405,50.75469983,57.50942721,0.4403351,2.919843768,0.406492258,0.256881208,219.8497373,25.65776017,24.99313226,3.178375909,50.03412667,1.687170547,3.372039563,1.491205362,-275.7871963,156.745859,11.41149741,112.2198974,0,0,1,0,52758.20692,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1808-20210516-14_02_02,10691.6,944.59108,1244.03,0.240700723,0.5,854.9239314,14.05607453,102.890404,0.017460289,0.296865831,589.8706664,-,0,589.8706664,0.525838873,0.457746155,0.360841295,0.514200177,0.388073673,0.28584965,0.71415035,999.9987419,854.9239314,0.854925007,0.219850014,6,0.5,0: Broadleaf,2,1621188117,578.7876129,599.9927097,16.98005806,9.605036452,580.8282258,17.12833871,500.1333226,99.22887097,0.133012258,25.98888387,24.99313226,999.9,0,0,10022.05806,0,0.238698,999.9987419,0.500001484,0.499998516,0,944.6408065,4.99921,9105.316452,6673.860968,42.812,45.562,44.062,44.59248387,44.8506129,497.5,497.4996774,0,120,0,944.59108,-5.442538483,-45.13846161,9104.5904,15,1621188068,14:01:08,1621188068,1621188068,29,-0.144,-0.002,-2.052,-0.124,600,9,0.17,0.01,14.03130985,0.039012778,0.053872867,1,0.443769997,-0.016123578,0.003737654,1,2,2,2/2,100,100,-2.041,-0.1482,-1.661367531,-0.000741083,1.37997E-07,2.4068E-11,-0.102889175,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,0.9,0.9,2,510.176,463.879,23.5536,28.1878,30.0001,28.1383,28.1287,26.8213,25.4413,9.43677,23.5545,600,9.56809,99.404,99.254
13,1621188245,1484.4,20210516 14:04:05,14:04:05,34.46129444,34.42717616,1621188237,0.006074563,6.074563028,14.63210211,776.802871,699.8739376,69.54244509,77.18643044,0.425016041,2.917490531,0.39337295,0.248504489,219.8500109,25.68448951,24.9992,3.179525938,49.95891235,1.68266008,3.368087897,1.496865857,-267.8882295,152.5488218,11.11413113,115.6247343,0,0,1,0,52693.80444,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1809-20210516-14_04_02,10691.6,947.0922,1232.42,0.231518314,0.5,854.9251256,14.63210211,98.96541165,0.01813404,0.309082943,587.2475315,-,0,587.2475315,0.523500486,0.442250428,0.371233599,0.499935521,0.400273546,0.274218784,0.725781216,1000.000161,854.9251256,0.854924988,0.219849975,6,0.5,0: Broadleaf,2,1621188237,776.802871,800.0178387,16.93426129,9.770091613,778.7983226,17.08124839,500.1300968,99.23127097,0.132973581,25.96907097,24.9992,999.9,0,0,10008.35387,0,0.238698,1000.000161,0.500000968,0.499999032,0,947.1367742,4.99921,9127.947097,6673.862903,42.812,45.562,44.062,44.59248387,44.85670968,497.5016129,497.5,0,120,0,947.0922,-2.721846161,-33.0738462,9127.4332,15,1621188188,14:03:07,1621188181,1621188188,30,0.148,0.001,-2.007,-0.124,800,10,0.06,0.01,14.56394471,0.266488196,0.080552783,1,0.429920286,-0.021014834,0.004460926,1,2,2,2/2,100,100,-1.996,-0.1469,-1.513508531,-0.000741083,1.37997E-07,2.4068E-11,-0.101696804,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1.1,1,2,509.953,464.45,23.5121,28.1805,30.0001,28.1264,28.1167,33.7904,22.4267,9.17103,23.5122,800,9.83144,99.4046,99.2573
14,1621188369,1608.4,20210516 14:06:09,14:06:09,41.56144622,35.88314656,1621188361,0.005793901,5.793901256,14.40151953,975.9450323,891.8158473,88.61735986,96.97705237,0.401344946,2.91604789,0.372989496,0.235498901,219.8497932,25.72959387,24.99354839,3.178454767,49.74268276,1.672591291,3.362487101,1.505863475,-255.5110454,148.9417435,10.8548579,124.1353492,0,0,1,0,52657.18236,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1810-20210516-14_06_06,10691.7,945.58912,1219.74,0.224761736,0.5,854.9253292,14.40151953,96.07725062,0.017864325,0.322691721,584.3529241,-,0,584.3529241,0.520920094,0.431470658,0.382512093,0.491266505,0.413597784,0.266639215,0.733360785,1000.000581,854.9253292,0.854924833,0.219849666,6,0.5,0: Broadleaf,2,1621188361,975.9450323,1000.005935,16.83240645,9.998560323,977.9509677,16.97949677,500.1320645,99.23431935,0.133010935,25.94095484,24.99354839,999.9,0,0,9999.8,0,0.238698,1000.000581,0.50000529,0.49999471,0,945.6331613,4.99921,9108.502258,6673.877097,42.808,45.562,44.062,44.58435484,44.83841935,497.506129,497.4941935,0,123.6000001,0,945.58912,-0.534153854,-17.04538458,9108.2112,15,1621188316,14:05:15,1621188310,1621188316,31,0.077,0,-2.016,-0.125,1000,10,0.11,0.01,14.36088813,-0.374206515,0.336084027,1,0.406650003,-0.003638594,0.012300389,1,2,2,2/2,100,100,-2.006,-0.147,-1.4356319,-0.000741083,1.37997E-07,2.4068E-11,-0.102012883,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1,0.9,2,509.606,465.201,23.4631,28.1758,30.0001,28.1191,28.1071,40.4961,19.5197,9.09197,23.463,1000,10.1322,99.4048,99.2515
15,1621188509,1748.4,20210516 14:08:29,14:08:29,49.29525337,38.09646951,1621188501,0.005348356,5.348356358,14.00313283,1175.662258,1083.200741,107.6371058,116.8249596,0.367570355,2.913038806,0.343610934,0.216779215,219.8489639,25.8016917,24.99604839,3.178928562,49.79487034,1.669964231,3.353687277,1.508964331,-235.8625154,141.444801,10.31696197,135.7482115,0,0,1,0,52578.1919,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1811-20210516-14_08_26,10691.8,943.91784,1205.12,0.216743694,0.5,854.92453,14.00313283,92.64975018,0.017398351,0.338738051,580.9762943,-,0,580.9762943,0.517910005,0.418496826,0.395422657,0.480655364,0.428960588,0.257582519,0.742417481,1000.000065,854.92453,0.854924475,0.21984895,6,0.5,0: Broadleaf,2,1621188501,1175.662258,1200.005484,16.80560323,10.49698065,1178.01129,16.94857419,500.1225484,99.23647419,0.133016355,25.89669677,24.99604839,999.9,0,0,9982.397419,0,0.238698,1000.000065,0.500017419,0.499982581,0,943.922129,4.99921,9086.797097,6673.903226,42.766,45.562,44.062,44.59045161,44.82622581,497.5190323,497.4832258,0,139.2,0,943.91784,-1.911769231,-12.30230767,9086.6236,15,1621188455,14:07:34,1621188446,1621188455,32,-0.27,0.004,-2.356,-0.123,1200,10,0.21,0.01,14.00530112,-0.336330853,0.213575931,1,0.371834794,-0.002711587,0.008915882,1,2,2,2/2,100,100,-2.35,-0.1429,-1.706447929,-0.000741083,1.37997E-07,2.4068E-11,-0.097959788,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1.1,0.9,2,509.232,466.356,23.3372,28.1734,29.9999,28.112,28.1012,46.9895,13.62,9.14527,23.3577,1200,10.5935,99.4052,99.2488
16,1621188686,1925.4,20210516 14:11:26,14:11:26,57.13527817,43.57262305,1621188678,0.004653425,4.653424595,14.02333364,1375.531613,1269.967427,126.1886931,136.6779437,0.321838179,2.915133601,0.303321073,0.191150519,219.8491171,25.93821772,25.00799355,3.181193238,50.65291499,1.694194767,3.344713266,1.486998471,-205.2160247,132.5594592,9.660299142,156.8528508,0,0,1,0,52646.47989,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1812-20210516-14_11_24,10692.2,941.14576,1199.06,0.215097026,0.5,854.9288603,14.02333364,91.94632765,0.017421892,0.345503978,579.5642076,-,0,579.5642076,0.516651204,0.416329284,0.400744536,0.479957244,0.43532848,0.256378514,0.743621486,1000.005774,854.9288603,0.854923924,0.219847848,6,0.5,0: Broadleaf,2,1621188678,1375.531613,1400.035484,17.05043548,11.5627129,1378.15871,17.19483548,500.1070968,99.23071613,0.133007968,25.85145806,25.00799355,999.9,0,0,9994.939032,0,0.247696903,1000.005774,0.500036645,0.499963355,0,941.1846452,4.99921,9056.264839,6673.98871,42.75,45.516,44,44.54612903,44.784,497.5412903,497.4687097,0,176.6000001,0,941.14576,-2.224769228,-18.01153842,9055.9524,15,1621188640,14:10:39,1621188640,1621188634,33,-0.225,-0.001,-2.632,-0.126,1400,11,0.15,0.01,14.05428729,-0.212910117,0.263896207,1,0.319742647,0.016427599,0.004625112,1,2,2,2/2,100,100,-2.63,-0.1444,-1.930434496,-0.000741083,1.37997E-07,2.4068E-11,-0.098865285,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,0.8,0.9,2,508.665,467.736,23.2668,28.1614,30.0001,28.1024,28.0922,53.322,5.14656,10.3583,23.2599,1400,11.2715,99.4062,99.2485
17,1621188809,2048.4,20210516 14:13:29,14:13:29,64.69554727,44.88592103,1621188801,0.004419134,4.419134493,13.65343896,1575.375806,1462.951938,145.3611629,156.5317721,0.30418088,2.917057563,0.28759394,0.181161071,219.8473343,25.96148286,25.0049,3.180606599,50.6788063,1.691259118,3.337211828,1.489347481,-194.8838312,127.1736385,9.259784121,161.3969258,0,0,1,0,52708.66354,MPF-423-20210203-16_42_40,10358.2,661.6908,1613.34,0.589862769,-0.871144486,MPF-1813-20210516-14_13_27,10692.3,941.33568,1194,0.211611658,0.5,854.923571,13.65343896,90.45589729,0.016989336,0.35120603,578.3794767,-,0,578.3794767,0.515595078,0.410422184,0.405174874,0.47465706,0.440645566,0.252173346,0.747826654,999.999871,854.923571,0.854923681,0.219847363,6,0.5,0: Broadleaf,2,1621188801,1575.375806,1600.10871,17.02126452,11.8097,1578.168387,17.16486452,500.1087742,99.22856452,0.132979194,25.81356129,25.0049,999.9,0,0,10006.15129,0,0.255493032,999.999871,0.500043774,0.499956226,0,941.3159032,4.99921,9054.220968,6673.965806,42.75,45.52,44,44.57825806,44.804,497.5454839,497.4567742,0,122.4000001,0,941.33568,-0.304076932,-10.43461539,9054.0648,15,1621188755,14:12:34,1621188751,1621188755,34,-0.131,0.001,-2.796,-0.127,1600,11,0.13,0.02,13.72634472,-0.384833041,0.135828033,1,0.301269896,0.012557455,0.003179303,1,2,2,2/2,100,100,-2.79,-0.1435,-2.061311969,-0.000741083,1.37997E-07,2.4068E-11,-0.098125305,5.94913E-06,-0.000341705,1.08954E-05,2,2090,1,23,1,0.9,2,508.707,468.317,23.2022,28.1542,30,28.0928,28.0832,59.41,5.24765,12.3132,23.205,1600,11.6851,99.4036,99.2444
